DOHA^INTL^AIRPOR;OTBD;&;41170;25;15N;051;34E;10;X;T;6;QA
DOHA/AL^UDEID^AB;OTBH;&;&;25;07N;051;19E;40;X;7;QA
DOHA^HAMAD^INTL^;OTHH;&;&;25;15N;051;36E;0;X;6;QA
