97.0;16429;-62.1;NULL;NULL;NULL;295;30;411.0;NULL;411.0
86.0;17178;-60.5;NULL;NULL;NULL;295;38;428.6;NULL;428.6
84.0;17324;-60.2;NULL;NULL;NULL;305;47;432.1;NULL;432.1
81.0;17550;-59.8;NULL;NULL;NULL;320;38;437.5;NULL;437.5
74.6;18062;-58.7;NULL;NULL;NULL;309;33;450.2;NULL;450.2
70.0;18460;-60.5;NULL;NULL;NULL;300;29;454.6;NULL;454.6
65.0;18918;-63.9;NULL;NULL;NULL;295;22;456.9;NULL;456.9
63.1;19101;-65.3;NULL;NULL;NULL;286;21;457.7;NULL;457.7
63.0;19111;-65.3;NULL;NULL;NULL;285;21;457.9;NULL;457.9
62.0;19209;-65.4;NULL;NULL;NULL;265;23;459.7;NULL;459.7
59.0;19511;-65.8;NULL;NULL;NULL;285;28;465.5;NULL;465.5
55.2;19917;-66.3;NULL;NULL;NULL;274;27;473.3;NULL;473.3
54.0;20051;-66.1;NULL;NULL;NULL;270;27;476.8;NULL;476.8
50.0;20520;-65.3;NULL;NULL;NULL;235;26;489.2;NULL;489.2
47.0;20896;-65.4;NULL;NULL;NULL;235;32;497.6;NULL;497.6
44.7;21202;-65.5;NULL;NULL;NULL;254;24;504.6;NULL;504.6
44.0;21298;-65.1;NULL;NULL;NULL;260;21;507.9;NULL;507.9
40.4;21820;-62.9;NULL;NULL;NULL;256;21;525.9;NULL;525.9
39.2;22008;-59.1;NULL;NULL;NULL;255;21;540.0;NULL;540.0
39.0;22040;-59.3;NULL;NULL;NULL;255;21;540.3;NULL;540.3
36.9;22385;-61.5;NULL;NULL;NULL;269;23;543.3;NULL;543.3
36.0;22538;-61.4;NULL;NULL;NULL;275;24;547.4;NULL;547.4
34.0;22893;-61.2;NULL;NULL;NULL;265;23;557.0;NULL;557.0
33.0;23078;-61.0;NULL;NULL;NULL;280;22;562.1;NULL;562.1
31.0;23466;-60.8;NULL;NULL;NULL;265;25;572.9;NULL;572.9
30.2;23629;-60.7;NULL;NULL;NULL;281;18;577.5;NULL;577.5
30.0;23670;-59.7;NULL;NULL;NULL;285;16;581.3;NULL;581.3
