
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    121                                                               
  886.0   1191   25.6    0.6     19   4.53    240      8  309.3  323.7  310.1
  850.0   1555   21.0   -8.0     13   2.47    260     10  308.1  316.2  308.6
  747.0   2650   10.6   -9.4     24   2.52    297      7  308.4  316.6  308.9
  710.0   3070    7.4   -8.6     31   2.83    311      6  309.4  318.6  309.9
  700.0   3187    6.6  -10.4     29   2.49    315      6  309.8  317.9  310.2
  659.0   3679    3.0  -28.0      8   0.58    302      9  311.1  313.2  311.2
  535.0   5330   -8.3  -33.3     11   0.43    259     19  316.7  318.3  316.8
  500.0   5850  -13.1  -33.1     17   0.47    245     22  317.0  318.8  317.1
  416.0   7217  -25.5  -34.5     43   0.50    241     25  318.2  320.0  318.3
  400.0   7500  -27.3  -40.3     28   0.29    240     26  319.4  320.5  319.5
  395.0   7590  -27.9  -40.9     28   0.27    240     26  319.8  320.8  319.8
  321.0   9041  -38.9  -46.9     43   0.18    248     34  324.1  324.8  324.1
  300.0   9500  -42.5  -51.5     37   0.11    250     36  325.4  325.8  325.4
  282.0   9915  -46.5  -55.5     35   0.07    253     37  325.4  325.7  325.4
  250.0  10710  -50.5  -65.5     15   0.02    260     38  330.9  331.0  330.9
  234.0  11140  -50.9  -70.9      8   0.01    260     39  336.6  336.6  336.6
  200.0  12150  -55.3  -74.3      8   0.01    260     42  345.0  345.1  345.0
  150.0  13960  -62.7  -83.7      4   0.00    255     42  361.9  361.9  361.9
  120.0  15221  -66.5  -86.5      5   0.00    245     46  378.7  378.7  378.7
  101.0  16373   10.7  -11.3     20  16.36    240     44  546.5  649.1  551.8
  100.0  16440  -64.5  -86.5      3   0.00    240     44  402.8  402.9  402.8
