ALMA/TOPEKA^^^^^;KTWX;TWX;&;39;00N;096;14W;417;X;8;US
AUGUSTA^^^^^^^^^;K3AU;3AU;&;37;40N;097;05W;416;X;8;US
BENTON^^^^^^^^^^;K1K1;1K1;&;37;46N;097;07W;416;X;8;US
BURLINGTON^^^^^^;KUKL;UKL;&;38;18N;095;44W;358;X;W;8;US
CHANUTE^^^^^^^^^;KCNU;CNU;&;37;40N;095;29W;297;X;T;A;6;US
COFFEYVILLE^^^^^;KCFV;CFV;&;37;05N;095;34W;225;X;A;7;US
CONCORDIA^^^^^^^;KCNK;CNK;72458;39;33N;097;39W;447;X;A;7;US
DODGE^CITY^^^^^^;KDDC;DDC;72451;37;46N;099;58W;789;X;X;T;X;A;F;0;US
EL^DORADO^^^^^^^;KEQA;EQA;&;37;46N;096;49W;421;X;7;US
ELKHART^^^^^^^^^;KEHA;EHA;72460;37;00N;101;54W;1099;X;S;W;6;US
EMPORIA^^^^^^^^^;KEMP;EMP;&;38;20N;096;12W;367;X;A;7;US
FORT^LEAVENWORTH;KFLV;FLV;&;39;22N;094;55W;235;X;7;US
FT^RILEY/MARSHAL;KFRI;FRI;72455;39;02N;096;46W;325;X;T;6;US
GARDEN^CITY^^^^^;KGCK;GCK;&;37;55N;100;43W;877;X;U;A;4;US
GARNETT^^^^^^^^^;KK68;K68;&;38;17N;095;13W;301;X;W;7;US
GOODLAND^^^^^^^^;KGLD;GLD;72465;39;22N;101;42W;1113;X;X;U;A;F;3;US
GREAT^BEND^^^^^^;KGBD;GBD;&;38;21N;098;52W;575;X;W;7;US
HARPER^^^^^^^^^^;K8K2;8K2;&;37;17N;098;03W;445;X;W;7;US
HAVILAND^PROFILE;KHVL;HVL;74541;37;39N;099;06W;648;W;8;US
HAYS^MUNI^^^^^^^;KHYS;HYS;&;38;51N;099;16W;609;X;T;4;US
HILL^CITY^^^^^^^;KHLC;HLC;&;39;22N;099;50W;669;X;V;A;6;US
HILLSBORO^PROFIL;&;HBR;74546;38;17N;097;17W;477;W;8;US
HILLSBORO^^^^^^^;&;&;74547;38;37N;097;18W;477;W;8;US
HUTCHINSON^^^^^^;KHUT;HUT;&;38;04N;097;52W;467;X;T;A;6;US
INDEPENDENCE^^^^;KIDP;IDP;&;37;10N;095;47W;251;X;W;8;US
IOLA^^^^^^^^^^^^;KK88;K88;&;37;52N;095;23W;310;X;8;US
JENNINGS^^^^^^^^;KJN8;JN8;&;39;41N;100;18W;762;X;W;8;US
LAWRENCE^^^^^^^^;KLWC;LWC;&;39;01N;095;13W;253;X;A;7;US
LEOTI/HOARD^MEML;K3K7;3K7;&;38;27N;101;21W;1007;X;W;7;US
LIBERAL^^^^^^^^^;KLBL;LBL;&;37;02N;100;58W;879;X;V;W;4;US
MANHATTAN^^^^^^^;KMHK;MHK;&;39;08N;096;41W;317;X;T;A;4;US
MARYSVILLE^^^^^^;KMYZ;MYZ;&;39;51N;096;38W;392;X;8;US
MCCONNELL^AFB^^^;KIAB;IAB;&;37;37N;097;16W;418;X;T;6;US
MEDICINE^LODGE^^;KP28;P28;72452;37;17N;098;33W;469;X;A;7;US
