BLOOMFIELD^PROFI;&;BLM;74662;36;52N;089;58W;130;W;8;US
BOONVILLE^^^^^^^;KVER;VER;&;38;57N;092;41W;218;X;7;US
BRANSON^^^^^^^^^;KBBG;BBG;&;36;32N;093;12W;397;X;T;7;US
BRANSON^WEST^^^^;KFWB;FWB;&;36;42N;093;24W;406;X;7;US
BUTLER^^^^^^^^^^;KBUM;BUM;&;38;16N;094;29W;271;V;8;US
CAMDENTON^^^^^^^;KOZS;OZS;&;37;58N;092;41W;324;X;8;US
CAPE^GIRARDEAU^^;KCGI;CGI;&;37;14N;089;35W;102;X;T;A;6;US
CHILLICOTHE^^^^^;KCDJ;CDJ;&;39;49N;093;35W;234;X;A;7;US
CLINTON^^^^^^^^^;KGLY;GLY;&;38;21N;093;41W;251;X;8;US
COLUMBIA^^^^^^^^;KCOU;COU;72445;38;49N;092;13W;271;X;U;A;4;US
CONWAY^PROFILER^;&;CNW;74550;37;31N;092;42W;390;W;8;US
FARMINGTON^^^^^^;KFAM;FAM;&;37;46N;090;25W;288;X;V;6;US
FORT^LEONARD^WOO;KTBN;TBN;&;37;43N;092;07W;353;X;7;US
GRANDVIEW^^^^^^^;KGVW;GVW;&;38;50N;094;34W;337;X;A;7;US
HANNIBAL^^^^^^^^;KHAE;HAE;&;39;44N;091;27W;234;X;W;8;US
HARRISONVILLE^^^;KLRY;LRY;&;38;37N;094;21W;279;X;W;8;US
JEFFERSON^CITY^^;KJEF;JEF;&;38;36N;092;09W;168;X;A;7;US
JOPLIN^^^^^^^^^^;KJLN;JLN;&;37;09N;094;30W;299;X;T;A;6;US
LEBANON^^^^^^^^^;KLBO;LBO;&;37;39N;092;39W;403;X;W;8;US
KAISER^MEM^^^^^^;KAIZ;AIZ;&;38;06N;092;32W;265;X;W;7;US
KANSAS^CITY/INTL;KMCI;MCI;72446;39;18N;094;44W;320;X;U;A;0;US
KANSAS^CITY/DNTN;KMKC;MKC;&;39;07N;094;36W;227;X;T;A;1;US
KANSAS^CITY/COM^;KNKA;NKA;&;39;07N;094;36W;231;8;US
KANSAS^CITY/AWC^;KKCI;KCI;&;39;17N;094;40W;231;C;9;US
KANSAS^CITY/RFC^;KKRF;KRF;&;38;49N;094;16W;312;R;8;US
KANSAS^CIT/ARTCC;KZKC;ZKC;&;38;51N;094;44W;231;A;8;US
KENNETT^^^^^^^^^;KTKX;TKX;&;36;14N;090;02W;80;X;7;US
KIRKSVILLE^^^^^^;KIRK;IRK;&;40;06N;092;33W;293;X;V;A;6;US
LATHROP^PROFILER;&;LTH;74551;39;34N;094;10W;297;W;8;US
LEES^SUMMIT^MUNI;KLXT;LXT;&;38;58N;094;22W;306;X;A;7;US
MALDEN^^^^^^^^^^;KMAW;MAW;&;36;36N;090;00W;90;X;8;US
MARSHALL^^^^^^^^;KMHL;MHL;&;39;06N;093;12W;237;X;W;8;US
MARYVILLE^^^^^^^;KEVU;EVU;&;40;21N;094;55W;349;X;W;8;US
MEXICO^^^^^^^^^^;KMYJ;MYJ;&;39;09N;091;49W;251;X;W;8;US
MOBERLY^^^^^^^^^;KMBY;MBY;&;39;28N;092;26W;264;X;W;8;US
MONETT^^^^^^^^^^;KUMN;UMN;72349;36;52N;093;54W;437;8;US
MONETT^^^^^^^^^^;KHFJ;HFJ;&;36;54N;094;01W;401;X;8;US
MOSBY^^^^^^^^^^^;KGPH;&;&;39;20N;094;19W;235;X;7;US
NEOSHO^^^^^^^^^^;KEOS;EOS;&;36;49N;094;24W;383;X;W;8;US
NEVADA^^^^^^^^^^;KNVD;NVD;&;37;51N;094;18W;272;X;W;8;US
PIEDMONT^^^^^^^^;KPYN;PYN;&;37;08N;090;43W;142;X;W;8;US
PLEASANT^HILL/KC;KEAX;EAX;&;38;49N;094;16W;303;X;F;8;US
POPULAR^BLUFF^^^;KPOF;POF;&;36;46N;090;19W;99;X;S;A;6;US
SEDALIA^^^^^^^^^;KDMO;DMO;&;38;43N;093;10W;274;X;A;7;US
