ADA^^^^^^^^^^^^^;KADH;ADH;&;34;48N;096;40W;308;X;7;US
ARDMORE^^^^^^^^^;KADM;ADM;&;34;17N;097;01W;232;X;V;4;US
ARDMORE/EXEC^^^^;K1F0;1F0;&;34;09N;097;07W;257;X;W;8;US
ALTUS^AFB^^^^^^^;KLTS;LTS;72352;34;40N;099;16W;420;X;T;6;US
ALTUS/QUARTZ^MTN;KAXS;AXS;&;34;42N;099;20W;437;X;W;7;US
ALVA^^^^^^^^^^^^;KAVK;AVK;&;36;46N;098;40W;449;X;W;7;US
ATOKA^^^^^^^^^^^;KAQR;AQR;&;34;24N;096;09W;189;X;W;7;US
BARTLESVILLE^^^^;KBVO;BVO;&;36;46N;096;01W;210;X;T;A;7;US
BLACKWELL^^^^^^^;KBKN;BKN;&;36;45N;097;21W;314;X;7;US
CLAREMORE^^^^^^^;KGCM;GCM;&;36;18N;095;29W;221;X;W;7;US
CHANDLER^^^^^^^^;KCQB;CQB;&;35;43N;096;49W;300;X;W;7;US
CHICKASHA^^^^^^^;KCHK;CHK;&;35;06N;097;58W;351;X;W;7;US
CLINTON^^^^^^^^^;KCSM;CSM;&;35;21N;099;12W;588;X;T;A;7;US
CLINTON^^^^^^^^^;KCLK;CLK;&;35;32N;098;56W;492;X;8;US
CUSHING^^^^^^^^^;KCUH;CUH;&;35;57N;096;46W;279;X;W;7;US
DUNCAN^^^^^^^^^^;KDUC;DUC;&;34;28N;097;58W;339;X;W;7;US
DURANT^^^^^^^^^^;KDUA;DUA;&;33;57N;096;24W;213;X;W;7;US
ELK^CITY^^^^^^^^;KELK;ELK;&;35;26N;099;24W;614;X;7;US
EL^RENO^MUNI^^^^;KRQO;RQO;&;35;28N;098;00W;432;X;W;8;US
ENID/VANCE^AFB^^;KEND;END;&;36;19N;097;55W;398;X;U;4;US
ENID/WOODRING^^^;KWDG;WDG;&;36;22N;097;46W;356;X;7;US
FORT^SILL^^^^^^^;KFSI;FSI;72355;34;39N;098;24W;362;X;T;7;US
FREDERICK/ALTUS^;KFDR;FDR;&;34;21N;098;59W;386;X;X;A;5;US
GAGE^^^^^^^^^^^^;KGAG;GAG;&;36;18N;099;46W;668;X;T;A;6;US
HUGO^^^^^^^^^^^^;KHHW;HHW;&;34;02N;095;33W;144;X;W;8;US
MITBEE/GAGE^^^^^;KMMB;MMB;&;36;18N;099;46W;668;V;8;US
GROVE^^^^^^^^^^^;KGMJ;GMJ;&;36;36N;094;44W;254;X;A;7;US
GUTHRIE^^^^^^^^^;KGOK;GOK;&;35;51N;097;24W;324;X;A;7;US
GUYMON^^^^^^^^^^;KGUY;GUY;&;36;41N;101;30W;948;X;T;A;7;US
HASKELL^PROFILER;&;HKL;74648;35;46N;095;46W;212;W;8;US
HOBART^^^^^^^^^^;KHBR;HBR;&;34;59N;099;03W;473;X;T;A;6;US
IDABEL^^^^^^^^^^;K4O4;4O4;&;33;55N;094;52W;144;X;W;8;US
INOLA/TULSA/88D^;KINX;INX;&;36;11N;095;34W;204;X;8;US
LAMONT^PROFILER^;&;LMN;74647;36;41N;097;28W;306;W;8;US
LAMONT^ARM^KLMN^;&;&;74646;36;37N;097;29W;318;U;8;US
LAWTON^^^^^^^^^^;KLAW;LAW;&;34;33N;098;25W;337;X;T;A;7;US
LEXINGTON^^^^^^^;KHMY;HMY;&;35;02N;097;14W;331;X;W;7;US
MORRIS^^^^^^^^^^;&;&;74650;35;41N;095;52W;217;Z;8;US
MCALESTER^^^^^^^;KMLC;MLC;&;34;53N;095;47W;232;X;U;A;6;US
MUSKOGEE^^^^^^^^;KMKO;MKO;&;35;39N;095;22W;185;X;A;7;US
NORMAN/WESTHEIME;KOUN;OUN;72357;35;15N;097;28W;357;X;T;X;F;3;US
NORMAN/SPC^^^^^^;KWNS;WNS;&;35;13N;097;27W;357;C;9;US
OKLAHOMA^CITY^^^;KOKC;OKC;72353;35;23N;097;36W;390;X;U;A;2;US
OKLA^CITY/WILEY^;KPWA;PWA;&;35;32N;097;39W;397;X;A;7;US
OKLA^CITY/PAGE^^;KRCE;RCE;&;35;29N;097;49W;413;X;7;US
OKMULGEE^^^^^^^^;KOKM;OKM;&;35;40N;095;57W;220;X;W;7;US
PAULS^VALLEY^^^^;KPVJ;PVJ;&;34;43N;097;13W;295;X;A;7;US
PONCA^CITY^^^^^^;KPNC;PNC;&;36;44N;097;06W;308;X;T;A;6;US
POTEAU^(R^KERR)^;KRKR;RKR;&;35;01N;094;37W;138;X;A;7;US
PURCELL^PROFILER;&;PRC;74649;34;58N;097;30W;331;W;8;US
PURCELL^^^^^^^^^;&;&;74651;34;58N;097;42W;343;Z;8;US
SALLISAW^^^^^^^^;KJSV;JSV;&;35;26N;094;48W;161;X;W;7;US
SAND^SPRINGS^^^^;KOWP;OWP;&;36;11N;096;09W;272;X;8;US
SEMINOLE^^^^^^^^;KSRE;SRE;&;35;16N;096;41W;312;X;W;8;US
SHAWNEE^^^^^^^^^;KSNL;SNL;&;35;21N;096;57W;327;X;W;7;US
STIGLER^^^^^^^^^;KGZL;GZL;&;35;17N;095;06W;183;X;7;US
STILLWATER^^^^^^;KSWO;SWO;&;36;10N;097;05W;290;X;A;7;US
TAHLEQUAH^^^^^^^;KTQH;TQH;&;35;56N;095;00W;266;X;W;7;US
TINKER^AFB^^^^^^;KTIK;TIK;72354;35;25N;097;22W;394;X;T;6;US
TULSA^^^^^^^^^^^;KTUL;TUL;72356;36;12N;095;53W;207;X;U;A;3;US
TULSA^^^^^^^^^^^;KRVS;RVS;&;36;03N;095;59W;200;X;T;A;6;US
TULSA/WFO^^^^^^^;KTSA;TSA;&;36;12N;095;54W;205;F;8;US
TULSA/RFC^^^^^^^;KTUA;TUA;&;36;09N;095;51W;205;R;8;US
TWIN^LAKES/88D^^;KTLX;TLX;&;35;20N;097;17W;370;X;8;US
VANCE/KEGELMAN^^;KVNX;VNX;&;36;44N;098;08W;369;X;8;US
VICI^PROFILER^^^;&;VCI;74640;36;04N;099;12W;648;W;8;US
VICI^^^^^^^^^^^^;&;&;74641;36;04N;099;20W;622;W;8;US
WATONGA^^^^^^^^^;KJWG;JWG;&;35;52N;098;25W;472;X;W;7;US
WEATHERFORD^^^^^;KOJA;OJA;&;35;33N;098;40W;490;X;7;US
WOODWARD^^^^^^^^;KWWR;WWR;&;36;27N;099;31W;667;X;T;W;7;US
EL^RENO^MUNI^^^^;KF28;F28;&;35;28N;098;00W;432;Z;8;US
PAGE^^^^^^^^^^^^;KPGO;PGO;72341;34;41N;094;37W;883;Z;8;US
SEMINOLE^^^^^^^^;KH45;H45;&;35;16N;096;41W;312;Z;8;US
