WASHINGTON^^^^^^;KAWG;AWG;&;41;16N;091;40W;230;X;W;8;US
WATERLOO^^^^^^^^;KALO;ALO;72548;42;33N;092;24W;264;X;T;A;4;US
WEBSTER^CITY^^^^;KEBS;EBS;&;42;25N;093;52W;342;X;W;8;US
LAMONI^^^^^^^^^^;K0Y7;0Y7;&;40;38N;093;54W;346;Z;8;US
LAMONI^^^^^^^^^^;K3OI;3OI;&;40;37N;093;57W;342;Z;8;US
SPENCER^^^^^^^^^;K3SE;3SE;&;43;10N;095;09W;404;Z;8;US
ADAIR^I80^^^^^^^;XADA;&;&;41;29N;094;43W;450;X;R;9;US
ALGONA^US18^^^^^;XALG;&;&;43;05N;094;23W;337;X;R;9;US
ALTON^IA10^^^^^^;XATN;&;&;42;49N;096;05W;430;X;R;9;US
ALTOONA^I80/US65;XALT;&;&;41;40N;093;31W;262;X;R;9;US
AMES^I35^^^^^^^^;XAME;&;&;42;02N;093;34W;313;X;R;9;US
ANKENY^I35^^^^^^;XANK;&;&;41;46N;093;34W;264;X;R;9;US
AVOCA^I80^^^^^^^;XAVO;&;&;41;29N;095;17W;377;X;R;9;US
BURLINGTON^US34^;XBUR;&;&;40;49N;091;05W;218;X;R;9;US
CARROLL^US30^^^^;XCAR;&;&;42;05N;094;53W;389;X;R;9;US
CEDAR^RAPIDS^380;XCDR;&;&;41;49N;091;40W;236;X;R;9;US
CEDAR^RAPID^US30;XCID;&;&;41;56N;091;41W;246;X;R;9;US
CENTERVILLE^IA2^;XCEN;&;&;40;44N;093;00W;295;X;R;9;US
COUNCIL^BLUFF^80;XCOU;&;&;41;14N;095;52W;268;X;R;9;US
CRESTON^US34^^^^;XCRE;&;&;41;04N;094;18W;388;X;R;9;US
DAVENPORT^80/280;XDAV;&;&;41;36N;090;41W;206;X;R;9;US
DECORAH^IA9^^^^^;XDEC;&;&;43;14N;091;41W;310;X;R;9;US
DES^MOINES^I35^^;XDSM;&;&;41;32N;093;46W;224;X;R;9;US
DES^MOINES^I235^;XDES;&;&;41;35N;093;37W;281;X;R;9;US
DE^SOTO^80/US169;XDST;&;&;41;32N;094;06W;291;X;R;9;US
DE^WITT^US30/61^;XDEW;&;&;41;50N;090;34W;240;X;R;9;US
DUBUQUE^US20^^^^;XDUB;&;&;42;29N;090;44W;250;X;R;9;US
FORT^DODGE^US20^;XFOD;&;&;42;26N;094;11W;286;X;R;9;US
GRINNELL^I80^^^^;XGRI;&;&;41;41N;092;44W;281;X;R;9;US
IOWA^CITY^US218^;XIAC;&;&;41;38N;091;35W;254;X;R;9;US
